乗車駅名,降車駅名,定期人員,定期外人員
押部谷,栄,4625.461819,6053.359001
押部谷,押部谷,,
押部谷,緑が丘,2305.526141,11938.56914
押部谷,広野ゴルフ,80.30315659,2768.363859
押部谷,志染,6080.419293,8693.727271
押部谷,恵比須,712.6061627,1720.874831
押部谷,三木上の丸,292.7507481,809.394518
押部谷,三木,2085.992585,1432.628297
押部谷,大村,1541.820606,804.2825526
押部谷,樫山,297.8517081,341.1019754
押部谷,市場,0,258.1312246
押部谷,小野,2382.813665,1157.679432
押部谷,葉多,0,0
押部谷,粟生,653.3138163,703.7472335
緑が丘,他社線,57855.69557,45888.01748
緑が丘,高速線,65877.78955,46529.80793
緑が丘,湊川方面,31368.07441,32055.74427
緑が丘,三田方面,11636.38194,12034.07769
緑が丘,鈴蘭台,8899.940086,9108.686085
緑が丘,鈴蘭台西口,1079.274425,1313.242605
緑が丘,西鈴蘭台,5665.726325,7746.804864
緑が丘,藍那,0,104.954454
緑が丘,木津,1292.028441,2762.644099
緑が丘,木幡,3671.001444,1773.730272
緑が丘,栄,5813.421959,7266.955129
緑が丘,押部谷,2060.849326,7025.916551
緑が丘,緑が丘,,
緑が丘,広野ゴルフ,656.0938751,6077.817017
緑が丘,志染,11226.84908,24229.0119
緑が丘,恵比須,2912.327812,6473.357489
緑が丘,三木上の丸,2692.067726,2628.675774
緑が丘,三木,11884.86717,9157.005608
緑が丘,大村,3987.467086,4408.087067
緑が丘,樫山,2955.156162,1395.068753
緑が丘,市場,1511.58883,545.7631607
緑が丘,小野,28807.70081,6273.601038
緑が丘,葉多,37.74860027,125.6691488
緑が丘,粟生,4341.04831,4677.969949
広野ゴルフ,他社線,15968.85628,10915.26321
広野ゴルフ,高速線,17147.35067,13056.86549
広野ゴルフ,湊川方面,9653.741635,8200.229308
広野ゴルフ,三田方面,2162.309387,1851.696438
広野ゴルフ,鈴蘭台,1832.491704,1650.765116
広野ゴルフ,鈴蘭台西口,379.1362147,181.9210536
広野ゴルフ,西鈴蘭台,1051.241323,1575.398814
広野ゴルフ,藍那,0,0
広野ゴルフ,木津,598.1200629,532.8803393
広野ゴルフ,木幡,113.3691622,359.054711
広野ゴルフ,栄,494.1732713,2533.900389
広野ゴルフ,押部谷,57.10446691,2448.937259
広野ゴルフ,緑が丘,433.095676,6098.738934
広野ゴルフ,広野ゴルフ,,
広野ゴルフ,志染,1592.789883,4584.41055
広野ゴルフ,恵比須,583.0414058,1155.345401
広野ゴルフ,三木上の丸,101.2787879,459.1757362
広野ゴルフ,三木,1564.165833,2682.824526
広野ゴルフ,大村,642.4252527,1492.321142
広野ゴルフ,樫山,250.0249632,318.3618437
広野ゴルフ,市場,358.5629317,100.5353191
広野ゴルフ,小野,5489.815796,1500.848692
広野ゴルフ,葉多,0,0
広野ゴルフ,粟生,952.8104872,675.3130019
志染,他社線,54927.35911,45567.93619
志染,高速線,65955.65928,47325.02464
志染,湊川方面,27607.81342,29303.76062
志染,三田方面,10680.31983,8489.649166
志染,鈴蘭台,7548.496719,6937.885462
志染,鈴蘭台西口,1635.26428,1273.447375
志染,西鈴蘭台,6724.96222,6067.602198
志染,藍那,0,191.0171062
志染,木津,1511.58883,1519.454254
志染,木幡,1012.088946,1910.171062
志染,栄,6969.873975,7488.738824
志染,押部谷,6144.9372,8186.44741
志染,緑が丘,11425.99199,25019.08837
志染,広野ゴルフ,1765.443443,5252.970422
志染,志染,,
志染,恵比須,7152.776009,16496.9319
志染,三木上の丸,5613.424538,5548.592134
志染,三木,18052.9628,20343.32181
志染,大村,6496.43514,9993.024539
志染,樫山,2853.369304,1963.72726
志染,市場,3025.091063,561.8150184
志染,小野,46984.95427,8489.649166
志染,葉多,607.0159868,238.7713828
志染,粟生,18745.29264,6197.895468
恵比須,他社線,16294.2405,17210.45215
恵比須,高速線,19005.61045,15611.97503
恵比須,湊川方面,6478.927017,9373.987621
恵比須,三田方面,1737.262655,2978.223699
恵比須,鈴蘭台,2650.004167,2938.724711
恵比須,鈴蘭台西口,187.4553929,451.7296431
恵比須,西鈴蘭台,942.223704,1516.00878
恵比須,藍那,,0
恵比須,木津,216.547838,360.4096344
恵比須,木幡,255.2683123,698.8430716
恵比須,栄,468.3099973,1061.206146
恵比須,押部谷,453.476649,1108.58142
恵比須,緑が丘,3232.849659,5877.449423
恵比須,広野ゴルフ,719.516283,1474.764423
恵比須,志染,7285.525943,18719.67641
恵比須,恵比須,,
恵比須,三木上の丸,350.4137742,1665.846857
恵比須,三木,1954.420487,7746.804864
恵比須,大村,1498.992256,4431.596865
恵比須,樫山,588.4811475,909.6052678
恵比須,市場,160.6063132,682.2039509
恵比須,小野,11400.78617,3820.342125
恵比須,葉多,15.41820606,111.0564571
恵比須,粟生,3023.17766,2035.428181
三木上の丸,他社線,5032.331146,5192.698034
三木上の丸,高速線,4744.063405,4313.289496
三木上の丸,湊川方面,2484.752217,3124.111551
三木上の丸,三田方面,816.8585995,1302.389361
三木上の丸,鈴蘭台,741.259907,788.6027322
三木上の丸,鈴蘭台西口,0,173.6519148
三木上の丸,西鈴蘭台,464.4037971,315.7307541
三木上の丸,藍那,,0
三木上の丸,木津,2.002364424,16.6972995
三木上の丸,木幡,62.17018575,323.7578072
三木上の丸,栄,453.476649,555.2822856
三木上の丸,押部谷,159.4986834,406.419375
三木上の丸,緑が丘,2775.277092,2803.920826
三木上の丸,広野ゴルフ,111.4569113,489.7874519
三木上の丸,志染,6004.98552,5990.991059
三木上の丸,恵比須,385.4551516,1926.22292
三木上の丸,三木上の丸,,
三木上の丸,三木,148.2519814,734.6811778
三木上の丸,大村,98.83465426,716.3141484
三木上の丸,樫山,0,191.9769912
三木上の丸,市場,57.35939756,0
三木上の丸,小野,3588.720377,1115.428358
三木上の丸,葉多,0,0
三木上の丸,粟生,571.0446691,1078.322374
三木,他社線,20510.45761,21771.84222
三木,高速線,25979.67722,20025.98694
三木,湊川方面,11049.71435,9550.855312
三木,三田方面,4646.58265,4487.751291
三木,鈴蘭台,2063.854355,4775.427656
三木,鈴蘭台西口,630.7447936,258.1312246
三木,西鈴蘭台,963.6378791,2288.225752
三木,藍那,,23.4089591
三木,木津,894.806602,647.5156144
三木,木幡,405.7422649,286.5256594
三木,栄,2643.12104,1910.171062
三木,押部谷,1261.489587,1308.336344
三木,緑が丘,12084.53989,9144.435937
三木,広野ゴルフ,1533.748247,2876.763648
三木,志染,16960.02667,21070.95914
三木,恵比須,1951.671654,7894.074288
三木,三木上の丸,513.9402022,1070.354475
三木,三木,,
三木,大村,167.5891964,2170.648935
三木,樫山,869.7449575,1386.414481
三木,市場,416.708272,402.1412763
三木,小野,14174.80235,5629.977868
三木,葉多,179.2814659,232.9476905
三木,粟生,4943.881293,3737.291209
大村,他社線,5716.862923,7702.302671
大村,高速線,7016.149951,6757.680645
大村,湊川方面,3683.238115,4012.964417
大村,三田方面,2259.564682,2093.338151
大村,鈴蘭台,945.4560323,1932.911194
大村,鈴蘭台西口,25.95657587,187.2716728
大村,西鈴蘭台,593.0079256,1181.549111
大村,藍那,0,0
大村,木津,0,251.3382977
大村,木幡,285.5223345,227.401317
大村,栄,526.475329,877.1193654
大村,押部谷,1468.400578,624.8223101
大村,緑が丘,3789.220135,4144.710796
大村,広野ゴルフ,755.7944149,1203.889325
大村,志染,5197.148112,8550.289517
大村,恵比須,1541.820606,4361.807938
大村,三木上の丸,82.01173439,947.1922623
大村,三木,218.6979584,2122.412292
大村,大村,,
大村,樫山,1692.543454,1987.741461
大村,市場,2372.031702,915.0520059
大村,小野,28100.92396,8614.496948
大村,葉多,1011.029906,454.8026339
大村,粟生,7709.103032,3572.45733
樫山,他社線,5824.655625,6438.778862
樫山,高速線,5814.492965,5751.052661
樫山,湊川方面,3940.208217,5306.030729
樫山,三田方面,1662.747713,826.5163251
樫山,鈴蘭台,462.5461819,721.8669713
樫山,鈴蘭台西口,14.5729736,15.85204201
樫山,西鈴蘭台,53.90981142,482.3664299
樫山,藍那,,0
樫山,木津,10.27880404,87.6225258
樫山,木幡,0,0
樫山,栄,58.10881683,246.4736855
樫山,押部谷,294.8837226,276.8363859
樫山,緑が丘,2965.039628,1724.459987
樫山,広野ゴルフ,305.916787,325.5973402
樫山,志染,3032.247193,1947.261763
樫山,恵比須,555.0554183,1112.721007
樫山,三木上の丸,55.06502166,137.7527208
樫山,三木,628.4594863,1690.416869
樫山,大村,1677.628639,2305.378868
樫山,樫山,,
樫山,市場,38.22695719,377.7174417
樫山,小野,4235.043726,3481.152871
樫山,葉多,11.98927377,196.9248518
樫山,粟生,792.9363119,1484.254542
市場,他社線,1236.754497,1910.171062
市場,高速線,2117.885448,2387.713828
市場,湊川方面,1601.891539,1557.20467
市場,三田方面,314.6572666,292.3731218
市場,鈴蘭台,369.2983489,454.8026339
市場,鈴蘭台西口,335.1783927,0
市場,西鈴蘭台,142.7611673,483.5876107
市場,藍那,,0
市場,木津,,59.6928457
市場,木幡,,227.401317
市場,栄,36.76837694,415.2545788
市場,押部谷,197.6693085,258.1312246
市場,緑が丘,1662.747713,734.6811778
市場,広野ゴルフ,420.496529,77.33486083
市場,志染,2693.542023,596.928457
市場,恵比須,0,382.0342125
市場,三木上の丸,47.88262753,0
市場,三木,621.7018575,795.9046093
市場,大村,2248.488384,966.455597
市場,樫山,0,75.20358513
市場,市場,,
市場,小野,535.3543773,626.2855942
市場,葉多,0,536.5649052
市場,粟生,22.02600866,573.0513187
小野,他社線,31072.40508,31066.51838
小野,高速線,33672.78023,28757.52039
小野,湊川方面,16446.08647,16271.82757
小野,三田方面,6981.829161,4232.765422
小野,鈴蘭台,6404.485596,3553.806628
小野,鈴蘭台西口,1504.215226,570.2003171
小野,西鈴蘭台,3461.229933,1824.320678
小野,藍那,188.0269032,0
小野,木津,212.8279978,362.690708
小野,木幡,653.3138163,176.867691
小野,栄,1295.129309,1364.407902
小野,押部谷,2080.234152,941.6336223
小野,緑が丘,28748.53006,6566.213027
小野,広野ゴルフ,6587.778955,1384.181929
小野,志染,44824.06299,8296.702594
小野,恵比須,11040.19694,3393.067019
小野,三木上の丸,3198.457641,948.3118749
小野,三木,14245.08169,5860.752123
小野,大村,27945.49849,9152.903007
小野,樫山,4423.789082,2912.672187
小野,市場,509.0917097,700.9802064
小野,小野,,
小野,葉多,71.71258635,506.4847514
小野,粟生,72727.3871,16998.77
葉多,他社線,872.7286452,795.9046093
葉多,高速線,605.4269397,629.7267239
葉多,湊川方面,779.5722168,323.7578072
葉多,三田方面,0,112.3630037
葉多,鈴蘭台,28.6229073,0
葉多,鈴蘭台西口,,0
葉多,西鈴蘭台,0,0
葉多,藍那,,0
葉多,木津,0,0
葉多,木幡,0,0
葉多,栄,0,0
葉多,押部谷,17.52068871,0
葉多,緑が丘,65.77732963,83.05091576
葉多,広野ゴルフ,0,0
葉多,志染,583.3915808,502.6765954
葉多,恵比須,0,142.5500793
葉多,三木上の丸,0,0
葉多,三木,171.3134007,103.8136447
葉多,大村,925.0923639,382.0342125
葉多,樫山,3.504137742,272.8815803
葉多,市場,0,454.8026339
葉多,小野,77.09103032,238.7713828
葉多,葉多,,
葉多,粟生,10998.32033,5416.903013
粟生,他社線,2202.600866,7859.558017
粟生,高速線,3913.852309,7394.210564
粟生,湊川方面,3978.891888,5032.171078
粟生,三田方面,2650.004167,3988.269251
粟生,鈴蘭台,2080.234152,2658.485499
粟生,鈴蘭台西口,0,374.5433456
粟生,西鈴蘭台,519.7148112,1332.677485
粟生,藍那,289.0913637,0
粟生,木津,228.9832584,197.603903
粟生,木幡,0,251.3382977
粟生,栄,233.6091828,1032.524899
